Nombre;Sexe;Annee;Prenoms;Nombre total cumule par annee
7;M;2013;Aydan;7
6;F;2013;Béatrice;6
6;M;2013;Boubacar;6
5;M;2013;Camilo;5
14;M;2013;Charly;14
6;F;2013;Chayma;6
67;M;2013;David;67
6;F;2013;Delia;6
6;F;2013;Eleanor;6
8;F;2013;Elif;8
14;M;2013;Elyes;14
8;F;2013;Emilia;8
17;F;2013;Émilie;17
6;M;2013;Germain;6
17;F;2013;Hana;17
5;F;2013;Hatouma;5
6;M;2013;Ishak;6
8;M;2013;Jassim;8
8;M;2013;Jérémie;8
5;F;2013;Jill;5
12;M;2013;Joakim;12
6;M;2013;Jonah;6
88;M;2013;Léon;88
9;F;2013;Lilas;9
6;M;2013;Loris;6
24;F;2013;Louna;24
5;M;2013;Luke;5
26;F;2013;Manel;26
14;F;2013;Marguerite;14
62;M;2013;Marius;62
7;F;2013;Mélodie;7
210;M;2013;Mohamed;210
6;F;2013;Naïa;6
12;M;2013;Naïl;12
10;M;2013;Nathaniel;10
7;F;2013;Nayla;7
26;M;2013;Noa;26
7;M;2013;Oren;7
6;M;2013;Orso;6
5;F;2013;Ranya;5
23;M;2013;Rayane;23
6;F;2013;Rivka;6
55;F;2013;Romy;55
6;F;2013;Sacha;156
27;F;2013;Salma;27
8;F;2013;Samira;8
17;F;2013;Sixtine;17
19;M;2013;Sofiane;19
41;F;2013;Stella;41
18;M;2013;Timothé;18
5;M;2013;Tommy;5
12;M;2013;Tony;12
15;M;2013;Virgile;15
7;F;2013;Viviane;7
17;M;2013;Yann;17
5;M;2013;Yazid;5
6;M;2013;Yohann;6
5;F;2013;Yumi;5
8;M;2013;Yvan;8
7;F;2013;Zeynab;7
27;M;2014;Abdoulaye;27
6;F;2014;Abigaël;6
5;F;2014;Aby;5
13;F;2014;Agnès;13
10;M;2014;Albert;10
211;F;2014;Alice;211
6;F;2014;Alizée;6
17;F;2014;Amy;17
25;F;2014;Ana;25
31;M;2014;Andrea;31
5;M;2014;Arslane;5
7;M;2014;Badis;7
6;M;2014;Baudouin;6
10;F;2014;Camila;10
6;M;2014;Christopher;6
103;F;2014;Clara;103
11;M;2014;Darius;11
6;F;2014;Djeneba;6
5;M;2014;Élias;5
9;M;2014;Eliel;9
5;F;2014;Éline;5
19;F;2014;Elya;19
8;M;2014;Eugène;8
6;M;2014;Eyal;6
5;M;2014;Fabien;5
11;F;2014;Fatim;11
17;M;2014;Ferdinand;17
11;M;2014;Gauthier;11
39;F;2014;Giulia;39
8;F;2014;Hajar;8
12;F;2014;Halima;12
36;M;2014;Henri;36
8;F;2014;Hermance;8
6;M;2014;Jayan;6
11;F;2014;Jennah;11
6;M;2014;Joris;6
16;F;2014;June;16
5;M;2014;Kenzi;5
10;M;2014;Lazare;10
5;M;2014;Liham;5
7;F;2014;Lilas;7
6;M;2014;Lilian;6
5;M;2014;Lirone;5
301;M;2014;Louis;301
5;F;2014;Lyne;5
8;F;2014;Manelle;8
6;F;2014;Martha;6
10;F;2014;Matilda;10
8;M;2014;Maxim;8
6;F;2014;Méline;6
6;M;2014;Melvil;6
19;M;2014;Mohammed;19
14;F;2014;Mona;14
11;M;2014;Nahel;11
7;F;2014;Natalia;7
67;F;2014;Nour;67
43;F;2014;Roxane;43
7;M;2014;Saad;7
5;F;2014;Safia;5
8;M;2014;Santiago;8
8;M;2014;Sébastien;8
98;F;2014;Sofia;98
28;M;2014;Sofiane;28
